epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.378,3.57944,4.74721,3.37004,0,0,0,0,3.85045,5.20477,3.82907,4.444e-05,4.444e-05,4.444e-05
2,201.342,3.56423,4.73239,3.36815,0,0,0,0,3.82846,4.84276,3.83908,9.66903e-05,9.66903e-05,9.66903e-05
3,295.874,3.56089,4.64292,3.28996,0,0,0,0,3.68695,4.67412,3.86088,0.000145274,0.000145274,0.000145274
4,393.01,3.47282,4.64547,3.32215,0,0,0,0,3.68362,4.61012,3.88023,0.000190192,0.000190192,0.000190192
5,496.542,3.55097,4.61567,3.34297,0,0,0,0,3.78034,4.63655,3.90293,0.000231444,0.000231444,0.000231444
6,611.423,3.42699,4.51671,3.23299,0,0,0,0,3.5963,4.65247,3.78599,0.000269029,0.000269029,0.000269029
7,722.043,3.41633,4.48082,3.21131,0,0,0,0,3.49911,4.59918,3.72476,0.000302947,0.000302947,0.000302947
8,846.052,3.44589,4.49461,3.18428,0,0,0,0,3.38547,4.64373,3.60301,0.0003332,0.0003332,0.0003332
9,984.063,3.28892,4.45677,3.17828,0,0,0,0,3.37546,4.82368,3.42036,0.000359786,0.000359786,0.000359786
10,1120.55,3.38918,4.41607,3.12181,0,0,0,0,3.34701,4.69392,3.34293,0.000382706,0.000382706,0.000382706
11,1247.9,3.33687,4.41711,3.07679,0,0,0,0,3.43181,4.87907,3.44921,0.00040196,0.00040196,0.00040196
12,1367.77,3.24402,4.44958,3.09568,0,0,0,0,3.62938,5.41179,3.58309,0.000417547,0.000417547,0.000417547
13,1492.92,3.3262,4.44273,3.1012,0,0,0,0,3.58428,5.08392,3.53422,0.000429468,0.000429468,0.000429468
14,1616.99,3.24381,4.392,3.03823,0,0,0,0,3.78303,4.62502,3.73114,0.000437723,0.000437723,0.000437723
15,1725.79,3.22636,4.37236,3.02286,0,0,0,0,3.89767,4.7106,3.66603,0.000442311,0.000442311,0.000442311
16,1830.3,3.31706,4.36803,3.07321,0,0,0,0,3.81792,4.69007,3.61132,0.000443233,0.000443233,0.000443233
17,1942.39,3.20899,4.4049,3.03057,0,0,0,0,3.44512,4.6396,3.52235,0.000440489,0.000440489,0.000440489
18,2056.43,3.19208,4.4002,3.0213,0,0,0,0,3.358,4.84796,3.37216,0.000434079,0.000434079,0.000434079
19,2172.02,3.24287,4.37006,3.01212,0,0,0,0,3.39563,4.94952,3.35942,0.000424002,0.000424002,0.000424002
20,2288.35,3.20588,4.30788,2.93834,0,0,0,0,3.42643,4.93631,3.35305,0.000410259,0.000410259,0.000410259
21,2396.37,3.30731,4.56649,3.20646,0,0,0,0,3.43499,4.81988,3.27591,0.00037774,0.00037774,0.00037774
22,2502.88,3.27776,4.47302,3.18451,7e-05,0.01667,4e-05,0,3.41952,4.73095,3.25975,0.000341077,0.000341077,0.000341077
23,2606.56,3.2708,4.44272,3.14902,0,0,0,0,3.37852,4.59481,3.24821,0.000304414,0.000304414,0.000304414
24,2720.16,3.2639,4.37062,3.07253,7e-05,0.01667,4e-05,0,3.39171,4.66073,3.23089,0.000267751,0.000267751,0.000267751
25,2837.9,3.23982,4.39173,3.0868,0.0001,0.03333,6e-05,1e-05,3.46496,4.90924,3.22729,0.000231088,0.000231088,0.000231088
26,2951.8,3.1716,4.38868,3.07396,0.0001,0.03333,7e-05,2e-05,3.59031,5.32283,3.26997,0.000194425,0.000194425,0.000194425
27,3079.36,3.14197,4.3488,3.00864,7e-05,0.01667,5e-05,1e-05,3.74076,5.65495,3.34044,0.000157762,0.000157762,0.000157762
28,3206.72,3.23359,4.44026,3.01492,0.0001,0.01667,7e-05,1e-05,3.79009,5.8009,3.35843,0.000121099,0.000121099,0.000121099
29,3331.07,3.25605,4.38764,3.1081,0.00019,0.03333,0.00013,2e-05,3.77358,5.73528,3.34505,8.4436e-05,8.4436e-05,8.4436e-05
30,3443.97,3.20093,4.37168,3.02252,0.00017,0.03333,0.00012,2e-05,3.77705,5.68917,3.33447,4.7773e-05,4.7773e-05,4.7773e-05
