epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.2224,3.59935,5.77811,3.08199,0.00021,0.03846,0.00015,5e-05,3.7553,7.70307,2.99019,5e-05,5e-05,5e-05
2,195.501,3.22697,4.95793,2.89003,0.25165,0.07692,0.00086,0.00024,3.27925,18.7131,2.85197,0.000110272,0.000110272,0.000110272
3,298.755,3.3491,4.59162,2.82131,0.0102,0.03846,0.00592,0.00059,3.4132,42.3742,2.88279,0.00016807,0.00016807,0.00016807
4,398.5,3.07524,4.39505,2.62042,0,0,0,0,3.69041,8.99677,3.38029,0.000223392,0.000223392,0.000223392
5,494.062,3.18063,4.37014,2.5528,0.0002,0.125,0.00023,3e-05,3.97844,7.04545,3.50409,0.00027624,0.00027624,0.00027624
6,602.519,3.19909,4.4281,2.53083,0,0,0,0,3.90818,8.09689,3.15111,0.000326613,0.000326613,0.000326613
7,706.652,3.13435,4.38694,2.55196,0,0,0,0,3.31169,20.8116,2.49999,0.00037451,0.00037451,0.00037451
8,808.187,3.14435,4.38045,2.55682,0.00074,0.13462,0.0006,0.00013,3.50274,575.872,2.87946,0.000419932,0.000419932,0.000419932
9,912.338,3.20035,4.31413,2.54891,0,0,0,0,4.44022,513.8,4.21627,0.00046288,0.00046288,0.00046288
10,1016.4,3.02871,4.39025,2.52619,0,0,0,0,4.01525,8.9245,3.83519,0.000503353,0.000503353,0.000503353
11,1131.14,3.14411,4.33188,2.56925,0,0,0,0,3.10891,5.15327,2.97402,0.00054135,0.00054135,0.00054135
12,1243.5,3.14859,4.34659,2.58761,0,0,0,0,3.33895,6.16416,3.55359,0.000576873,0.000576873,0.000576873
13,1345.11,2.99728,4.28221,2.53485,0,0,0,0,3.25835,5.69996,3.5472,0.00060992,0.00060992,0.00060992
14,1444.58,2.9953,4.306,2.55227,0,0,0,0,3.06062,58.6653,3.26935,0.000640492,0.000640492,0.000640492
15,1565.86,3.09419,4.32009,2.54715,0,0,0,0,2.95912,9.06756,2.99864,0.00066859,0.00066859,0.00066859
16,1685.14,3.07881,4.33434,2.53976,0.00143,0.06971,0.00092,0.00039,2.9382,4.43039,2.91526,0.000694212,0.000694212,0.000694212
17,1791.72,3.1432,4.34227,2.56178,0.00115,0.13942,0.00112,0.00032,3.07054,4.32488,2.9897,0.00071736,0.00071736,0.00071736
18,1889.21,3.06389,4.39039,2.55136,0.0008,0.08894,0.00066,0.00033,3.06632,4.32849,2.89751,0.000738032,0.000738032,0.000738032
19,1990.46,2.89355,4.32206,2.48145,0.00099,0.10817,0.00086,0.00027,3.07275,4.36101,2.89935,0.00075623,0.00075623,0.00075623
20,2083.55,2.97585,4.30948,2.51122,0,0,0,0,3.63294,4.97888,3.42741,0.000771953,0.000771953,0.000771953
21,2176.32,3.02006,4.34501,2.54858,0.00019,0.03846,0.00013,2e-05,3.13715,4.59591,2.97653,0.000755,0.000755,0.000755
22,2272.03,2.96819,4.36791,2.5459,0.00076,0.11538,0.00059,0.0002,2.89907,4.54238,3.00733,0.00073025,0.00073025,0.00073025
23,2366.91,2.97701,4.32457,2.51961,0.00079,0.09615,0.00057,0.00011,2.99725,4.57305,3.19378,0.0007055,0.0007055,0.0007055
24,2462.31,2.94982,4.38469,2.5201,0.00035,0.01923,0.00028,3e-05,2.94166,4.52934,2.90987,0.00068075,0.00068075,0.00068075
25,2558.27,2.91014,4.37305,2.44393,0,0,0,0,3.05619,4.61389,3.07301,0.000656,0.000656,0.000656
26,2656.34,2.86413,4.34689,2.41619,0.0001,0.05,6e-05,1e-05,2.96257,4.50568,2.91092,0.00063125,0.00063125,0.00063125
27,2759.35,2.87294,4.36095,2.46645,0.00019,0.05,0.00012,1e-05,2.85143,4.48825,2.79702,0.0006065,0.0006065,0.0006065
28,2878.32,2.90423,4.4117,2.47943,0,0,0,0,2.79633,4.49181,2.79304,0.00058175,0.00058175,0.00058175
29,2991.78,2.94241,4.38028,2.44236,0,0,0,0,2.77913,4.46124,2.76765,0.000557,0.000557,0.000557
30,3109.48,2.83487,4.33122,2.43288,0,0,0,0,2.78961,4.44822,2.70781,0.00053225,0.00053225,0.00053225
31,3222.41,2.94489,4.30237,2.42949,0,0,0,0,2.86377,4.44037,2.68137,0.0005075,0.0005075,0.0005075
32,3338.28,2.91781,4.36408,2.44614,0,0,0,0,3.03089,4.41315,2.68858,0.00048275,0.00048275,0.00048275
33,3460.62,2.91277,4.33793,2.43418,0,0,0,0,2.8983,4.38532,2.62532,0.000458,0.000458,0.000458
34,3569.53,2.88096,4.31961,2.43004,0,0,0,0,2.90967,4.36363,2.66176,0.00043325,0.00043325,0.00043325
35,3668.42,2.91127,4.35652,2.46261,0,0,0,0,2.90148,4.357,2.66756,0.0004085,0.0004085,0.0004085
36,3763.2,2.86963,4.33212,2.42639,0,0,0,0,2.89225,4.3369,2.62275,0.00038375,0.00038375,0.00038375
37,3859.6,2.88149,4.3431,2.4313,0,0,0,0,2.90483,4.32709,2.60486,0.000359,0.000359,0.000359
38,3971.01,2.76078,4.4069,2.36925,0,0,0,0,2.89251,4.33768,2.5866,0.00033425,0.00033425,0.00033425
